timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:27.414, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:29.192, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:30.980, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:32.711, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:34.473, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:36.254, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:38.006, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:39.795, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:41.576, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:43.404, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:45.136, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:46.965, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:48.738, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:50.491, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:52.302, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:54.131, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:55.866, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:57.675, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:45:59.422, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:01.217, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:03.008, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:04.754, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:06.513, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:08.246, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:10.086, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:11.854, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:13.603, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:15.334, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:17.146, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:18.904, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:21.157, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:22.726, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:23.742, 76 %, 5211 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:24.757, 66 %, 8623 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:25.770, 64 %, 11869 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:26.805, 43 %, 14813 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:27.821, 90 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:28.834, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:29.845, 87 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:30.858, 86 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:31.870, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:32.883, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:33.896, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:34.909, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:35.922, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:36.935, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:37.948, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:38.961, 82 %, 14915 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:39.977, 80 %, 1860 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:41.432, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:43.268, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:45.106, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:46.850, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:48.668, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:50.429, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:52.186, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:53.953, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:55.762, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:57.564, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:46:59.312, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:01.055, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:02.822, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:04.582, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:06.378, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:08.138, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:09.968, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:11.743, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:13.586, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:15.390, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:17.276, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:19.054, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:20.835, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:22.622, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:24.403, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:26.246, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:28.044, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:29.838, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:31.593, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:33.430, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:35.194, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:36.956, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:38.761, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:39.961, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:40.976, 77 %, 5091 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:41.989, 62 %, 8385 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:43.004, 67 %, 11607 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:44.024, 55 %, 14741 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:45.048, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:46.059, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:47.072, 90 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:48.085, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:49.098, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:50.112, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:51.125, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:52.138, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:53.151, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:54.164, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:55.177, 90 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:56.191, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:57.213, 28 %, 9288 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:47:59.003, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:00.851, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:02.658, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:04.442, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:06.248, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:08.033, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:09.822, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:11.692, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:13.446, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:15.238, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:17.035, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:18.805, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:20.026, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:21.040, 72 %, 5053 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:22.054, 67 %, 8395 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:23.071, 56 %, 11599 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:24.088, 62 %, 14729 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:25.106, 86 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:26.119, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:27.131, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:28.145, 87 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:29.157, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:30.170, 87 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:31.182, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:32.196, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:33.220, 88 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:34.234, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:35.247, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:48:36.261, 89 %, 14923 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
