timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:12.931, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:13.945, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:14.959, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:15.972, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:16.985, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:18.052, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:19.065, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:20.078, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:21.092, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:22.105, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:23.118, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:24.131, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:25.145, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:26.160, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:27.174, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:28.188, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:29.201, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:30.214, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:31.228, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:32.242, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:33.255, 0 %, 0 MiB
timestamp, utilization.gpu [%], memory.used [MiB]
2022/01/04 14:53:34.267, 0 %, 0 MiB
